Akacjowe Przedszkole. Niepubliczne Przedszkole we Wróblowicach;Akacjowa 5;Miękinia;dolnoslaskie;Kinder;33-330;790550050;False;;False;
Akademia Kreatywna Montessori Dwujęzyczne Przedszkole Chrześcijańskie;Swojczycka 105;Wrocław;dolnoslaskie;Kinder;51-502;694301595;False;;False;
Akademia Malucha;Wolności 8;Zgorzelec;dolnoslaskie;Kinder;59-900;757714943;False;;False;
Akademia Malucha Niepubliczne Przedszkole Językowe;Armii Krajowej 9;Lubań;dolnoslaskie;Kinder;59-800;509516468;False;;False;
Akademia Młodego Artysty- Niepubliczny Punkt Przedszkolny;S. Żeromskiego 3/1;Nowa Ruda;dolnoslaskie;Kinder;57-400;664320950;True;;False;
Akademia Pana Kleksa;Gomółki 32;Głogów;dolnoslaskie;Kinder;67-200;768314973;False;;False;
Akademia Przedszkolaka;Bystrzyca Kłodzka 172/6;Bystrzyca Kłodzka;dolnoslaskie;Kinder;57-500;;False;;False;
AKADEMIA Przedszkolaka nIEPUBLICZNE Przedszkole;Rodzinna 61;Kłodzko;dolnoslaskie;Kinder;57-300;502087922;False;;False;
Akademia Puchatka - Niepubliczny Punkt Przedszkolny;Lubelska 106;Wrocław;dolnoslaskie;Kinder;54-101;;False;;False;
Akademia Twórczego Rozwoju MALI ODKRYWCY;Azaliowa 20;Wrocław;dolnoslaskie;Kinder;51-252;797775022;False;;False;
American School of Wrocław;Partynicka 29-37;Wrocław;dolnoslaskie;Kinder;53-031;713336992;False;;False;
Anglojęzyczny Punkt Przedszkolny "Magic Nursery II";Kolejowa 10 A;Polkowice;dolnoslaskie;Kinder;59-100;693333133;False;;False;
Arka;PL. Jana Pawła II 10;Strzegom;dolnoslaskie;Kinder;58-150;792300275;False;;False;
Artystyczne Przedszkole Niepubliczne Maluszkowo;Kasztanowa 18;Wrocław;dolnoslaskie;Kinder;51-180;;False;;False;
Autorskie Przedszkole Niepubliczne Król Maciuś im. Janusza Korczaka;Grabiszyńska 61-65;Wrocław;dolnoslaskie;Kinder;53-503;713422246;False;;False;
Bajkowe Przedszkole;Kłodzka 8;Gorzanów;dolnoslaskie;Kinder;57-521;748121006;False;;False;
Bim Bam Bom Niepubliczny Punkt Przedszkolny;Legnicka 55/U3;Wrocław;dolnoslaskie;Kinder;54-203;609338612;False;;False;
Centrum Montessori Pestka;Zabrodzie 21A;Wrocław;dolnoslaskie;Kinder;52-327;693862088;False;;False;
Centrum Rozwoju Dziecka Niepubliczne Przedszkole "Kredka";Zwierzyniec Duży 23;Oława;dolnoslaskie;Kinder;55-200;505093023;False;;False;
Chatka Puchatka;Francuska 41;Zgorzelec;dolnoslaskie;Kinder;59-900;512313599;True;;False;
Czerwony Kapturek;Sarbinowska 19-21;Wrocław;dolnoslaskie;Kinder;54-317;501981316;False;;False;
Dziecięcy ogród;Fiołkowa 25;Legnica;dolnoslaskie;Kinder;59-220;665486925;False;;False;
Dzienny Ośrodek Rehabilitacyjno-Wychowawczy Przedszkole;Kopernika 20;Milicz;dolnoslaskie;Kinder;56-300;713841110;False;;False;
Dzienny Ośrodek Rehabilitacyjno-Wychowawczy przy Stowarzyszeniu Osób Niepełnosprawnych w Wołowie- Punkt Przedszkolny "Niezwykłe dzieci";Wilcza 10;Brzeg Dolny;dolnoslaskie;Kinder;56-120;713195609;False;;False;
Ekologiczne Przedszkole Niepubliczne;Parkowa 11;Bielawa;dolnoslaskie;Kinder;58-260;746452224;False;;False;
ENTLICZEK Niepubliczne Przedszkole w Środzie Śląskiej;Wawrzyńca Korwina 2;Środa Śląska;dolnoslaskie;Kinder;55-300;713961934;True;;False;
Europejska Akademia Dziecka;pl. Wojska Polskiego 4;Świdnica;dolnoslaskie;Kinder;58-100;746671975;False;;False;
Europejskie Językowe Przedszkole Klub Kubusia Puchatka VIIII;Rajska 69;Wrocław;dolnoslaskie;Kinder;54-028;606131700;False;;False;
Europejskie Przedszkole "Klub Kubusia Puchatka IV";Wrocławska 14C;Kiełczów;dolnoslaskie;Kinder;55-093;713990245;False;;False;
Europejskie Przedszkole Klub Kubusia Puchatka VII;Ramiszów 111;Ramiszów;dolnoslaskie;Kinder;51-217;713943733;False;;False;
Fabryka Talentów;Tymiankowa 1/U1;Smolec;dolnoslaskie;Kinder;55-080;726946312;False;;False;
Fikoland;Bulwar Ikara 28A;Wrocław;dolnoslaskie;Kinder;54-130;697497092;False;;False;
Gminne Przedszkole;Stara Kamienica 71;Stara Kamienica;dolnoslaskie;Kinder;58-512;757514207;False;;False;
Gminne Przedszkole;Szkolna 10;Świętoszów;dolnoslaskie;Kinder;59-726;;False;;False;
Gminne Przedszkole Publiczne;Mickiewicza 2;Olszyna;dolnoslaskie;Kinder;59-830;757212428;False;;False;
Gminne Przedszkole Publiczne w Mościsku;Szkolna 12;Mościsko;dolnoslaskie;Kinder;58-116;;False;;False;
